D,GalNAc,a,0.460 ,N3,OAc,OClAc,OTIPS
D,Man,a,0.460 ,OClAc,OTBDPS,OClAc,OH
D,GlcNAc,a,0.460 ,N3,OTIPS,OClAc,OClAc
D,Man,a,0.460 ,NO2Bz,OBz,OBz,OBz
D,Glc,b,0.461 ,NO2Bz,OTBS,NO2Bz,OH
D,GlcNAc,a,0.462 ,N3,OClAc,OAc,OTBDPS
D,Glc,b,0.463 ,NO2Bz,NO2Bz,NO2Bz,OBz
D,Man,a,0.467 ,OClAc,OH,OClAc,OTIPS
D,Man,a,0.467 ,NO2Bz,OClAc,OClAc,OBz
D,Man,a,0.468 ,OClAc,OClAc,OTBS,OClAc
D,GlcNAc,a,0.469 ,N3,OClAc,OTBS,OClAc
D,GlcNAc,a,0.470 ,N3,OTBS,OAc,OClAc
D,Glc,b,0.475 ,OAc,OClAc,OClAc,OTBS
D,Man,a,0.477 ,OAc,OTBS,OAc,OClAc
D,Man,a,0.479 ,OClAc,OClAc,OClAc,OClAc
D,Glc,b,0.482 ,OAc,OTBS,OClAc,OH
D,Glc,b,0.486 ,NO2Bz,OClAc,NO2Bz,OClAc
D,Glc,b,0.489 ,OClAc,OTBS,OClAc,OH
D,Glc,b,0.495 ,OBz,NO2Bz,OBz,OBz
D,Man,a,0.499 ,OClAc,OTBS,OClAc,OAc
D,Man,a,0.501 ,OBn,OClAc,OClAc,OClAc
D,Man,a,0.502 ,OAc,OClAc,OTBS,OClAc
D,GalNAc,a,0.503 ,N3,OTBDPS,OClAc,OH
D,GlcNAc,a,0.504 ,N3,OTBS,OClAc,OAc
D,Man,a,0.505 ,OClAc,OTIPS,OAc,OClAc
D,Man,a,0.505 ,OBz,OClAc,OClAc,OClAc
D,Glc,b,0.506 ,OAc,OTBS,OAc,OH
D,Man,a,0.506 ,OClAc,OTIPS,OAc,OAc
D,Glc,b,0.510 ,OAc,OAc,OClAc,OTBS
D,GlcNAc,a,0.512 ,N3,OTIPS,OAc,OAc
D,Man,a,0.518 ,OClAc,OTIPS,OClAc,OClAc
D,GalNAc,a,0.520 ,N3,OAc,OClAc,OTBS
